"Isotope Ratio Report",,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,411.001,1.94787,0.49698,1
"| ","Pb",206,205,0.97156,0.24788,1
"|>","Pb",207,211,1,0.25514,1
"Summary",,,,,,
"Analyte","Mass","Net Intens. Mean","Ratio Mean","Ratio %RSD","Corr. Factor Mean",
,"Pb",208,447,2.0847,11.47601,1
,"Pb",206,212.2,0.98856,9.25775,1
,"Pb",207,215.2,1,0,1
"Isotope Ratio Report",,,,,,
"Sample ID:","10ppb_SRM981",,,,,
"Sample Date/Time:","Thursday, April 23, 2015 11:39:04",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM10_NyAlesund_2010-2014_isotopi\10ppb_SRM981.002",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",40,,,,,
"Read Delay(sec):",40,,,,,
"Number of Sweeps:",1000,,,,,
"Number of Readings:",10,,,,,
"Number of Replicates:",10,,,,,
"Dual Detector Mode:","Pulse",,,,,
"Measurement Unit:","counts",,,,,
"Replicates",,,,,,
"Replicate",1,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,835180.214,2.40305,0.53698,1
"| ","Pb",206,372591.541,1.07205,0.23956,1
"|>","Pb",207,347549.568,1,0.22346,1
"Replicate",2,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,823388.337,2.41253,0.53781,1
"| ","Pb",206,366311.058,1.07329,0.23926,1
"|>","Pb",207,341296.354,1,0.22292,1
"Replicate",3,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,792628.969,2.41913,0.53829,1
"| ","Pb",206,352211.655,1.07496,0.23919,1
"|>","Pb",207,327650.985,1,0.22251,1
"Replicate",4,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,779824.076,2.40012,0.53654,1
"| ","Pb",206,348683.706,1.07317,0.23991,1
"|>","Pb",207,324910.788,1,0.22355,1
"Replicate",5,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,773286.205,2.40317,0.5369,1
"| ","Pb",206,345225.165,1.07287,0.23969,1
"|>","Pb",207,321777.698,1,0.22341,1
"Replicate",6,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,766012.093,2.41367,0.53772,1
"| ","Pb",206,341191.041,1.07508,0.2395,1
"|>","Pb",207,317364.395,1,0.22278,1
"Replicate",7,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,757582.128,2.40484,0.53736,1
"| ","Pb",206,337206.32,1.07042,0.23919,1
"|>","Pb",207,315023.516,1,0.22345,1
"Replicate",8,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,761420.257,2.41681,0.53779,1
"| ","Pb",206,339349.045,1.07712,0.23968,1
"|>","Pb",207,315051.576,1,0.22252,1
"Replicate",9,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,749297.241,2.40711,0.53733,1
"| ","Pb",206,333892.436,1.07263,0.23944,1
"|>","Pb",207,311285.146,1,0.22323,1
"Replicate",10,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,746902.037,2.40786,0.53656,1
"| ","Pb",206,334924.165,1.07973,0.2406,1
"|>","Pb",207,310193.469,1,0.22284,1
"Summary",,,,,,
"Analyte","Mass","Net Intens. Mean","Ratio Mean","Ratio %RSD","Corr. Factor Mean",
,"Pb",208,778552.2,2.40883,0.26544,1
,"Pb",206,347158.6,1.07413,0.25105,1
,"Pb",207,323210.3,1,0,1
"Isotope Ratio Report",,,,,,
"Sample ID:","10ppb_SRM981",,,,,
"Sample Date/Time:","Thursday, April 23, 2015 11:48:06",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM10_NyAlesund_2010-2014_isotopi\10ppb_SRM981.003",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",40,,,,,
"Read Delay(sec):",40,,,,,
"Number of Sweeps:",1000,,,,,
"Number of Readings:",10,,,,,
"Number of Replicates:",10,,,,,
"Dual Detector Mode:","Pulse",,,,,
"Measurement Unit:","counts",,,,,
"Replicates",,,,,,
"Replicate",1,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,805578.702,2.40288,0.53696,1
"| ","Pb",206,359414.028,1.07206,0.23957,1
"|>","Pb",207,335256.041,1,0.22347,1
"Replicate",2,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,790587.695,2.4165,0.53797,1
"| ","Pb",206,351829.557,1.0754,0.23941,1
"|>","Pb",207,327162.646,1,0.22262,1
"Replicate",3,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,786605.465,2.41259,0.53763,1
"| ","Pb",206,350446.602,1.07485,0.23952,1
"|>","Pb",207,326041.715,1,0.22284,1
"Replicate",4,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,775483.239,2.42176,0.53843,1
"| ","Pb",206,344580.35,1.07609,0.23925,1
"|>","Pb",207,320214.689,1,0.22233,1
"Replicate",5,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,769692.702,2.41649,0.53831,1
"| ","Pb",206,341612.208,1.07251,0.23892,1
"|>","Pb",207,318517.338,1,0.22277,1
"Replicate",6,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,764060.225,2.41036,0.53741,1
"| ","Pb",206,340696.702,1.07479,0.23963,1
"|>","Pb",207,316990.458,1,0.22296,1
"Replicate",7,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,760916.066,2.41245,0.5371,1
"| ","Pb",206,340370.821,1.07913,0.24026,1
"|>","Pb",207,315412.474,1,0.22264,1
"Replicate",8,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,761424.136,2.42244,0.5387,1
"| ","Pb",206,337691.598,1.07435,0.23892,1
"|>","Pb",207,314320.753,1,0.22238,1
"Replicate",9,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,760505.485,2.41631,0.53811,1
"| ","Pb",206,338057.69,1.07409,0.2392,1
"|>","Pb",207,314737.852,1,0.2227,1
"Replicate",10,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,747656.471,2.42224,0.53842,1
"| ","Pb",206,332281.12,1.07652,0.23929,1
"|>","Pb",207,308663.703,1,0.22228,1
"Summary",,,,,,
"Analyte","Mass","Net Intens. Mean","Ratio Mean","Ratio %RSD","Corr. Factor Mean",
,"Pb",208,772251,2.4154,0.25405,1
,"Pb",206,343698.1,1.07498,0.18827,1
,"Pb",207,319731.8,1,0,1
"Isotope Ratio Report",,,,,,
"Sample ID:","10ppb_SRM981",,,,,
"Sample Date/Time:","Thursday, April 23, 2015 11:57:07",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM10_NyAlesund_2010-2014_isotopi\10ppb_SRM981.004",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",40,,,,,
"Read Delay(sec):",40,,,,,
"Number of Sweeps:",1000,,,,,
"Number of Readings:",10,,,,,
"Number of Replicates:",10,,,,,
"Dual Detector Mode:","Pulse",,,,,
"Measurement Unit:","counts",,,,,
"Replicates",,,,,,
"Replicate",1,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,803325.271,2.41346,0.53837,1
"| ","Pb",206,355974.187,1.06946,0.23856,1
"|>","Pb",207,332852.608,1,0.22307,1
"Replicate",2,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,780394.797,2.39877,0.53726,1
"| ","Pb",206,346830.748,1.06609,0.23877,1
"|>","Pb",207,325331.033,1,0.22397,1
"Replicate",3,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,768580.776,2.41704,0.5378,1
"| ","Pb",206,342545.73,1.07724,0.23969,1
"|>","Pb",207,317983.979,1,0.2225,1
"Replicate",4,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,750072.218,2.41042,0.53796,1
"| ","Pb",206,333033.138,1.07023,0.23886,1
"|>","Pb",207,311178.965,1,0.22318,1
"Replicate",5,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,749104.442,2.426,0.53833,1
"| ","Pb",206,333645.797,1.08052,0.23977,1
"|>","Pb",207,308781.994,1,0.2219,1
"Replicate",6,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,740813.947,2.4214,0.53849,1
"| ","Pb",206,328954.313,1.07521,0.23912,1
"|>","Pb",207,305944.98,1,0.22239,1
"Replicate",7,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,731880.78,2.40352,0.5374,1
"| ","Pb",206,325507.387,1.06898,0.23901,1
"|>","Pb",207,304503.527,1,0.22359,1
"Replicate",8,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,733718.226,2.40367,0.53709,1
"| ","Pb",206,327121.524,1.07165,0.23946,1
"|>","Pb",207,305249.278,1,0.22345,1
"Replicate",9,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,732292.88,2.41477,0.53783,1
"| ","Pb",206,326009.623,1.07503,0.23944,1
"|>","Pb",207,303255.433,1,0.22273,1
"Replicate",10,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,726819.12,2.40226,0.53718,1
"| ","Pb",206,323649.486,1.06972,0.2392,1
"|>","Pb",207,302556.74,1,0.22361,1
"Summary",,,,,,
"Analyte","Mass","Net Intens. Mean","Ratio Mean","Ratio %RSD","Corr. Factor Mean",
,"Pb",208,751700.2,2.41113,0.3724,1
,"Pb",206,334327.2,1.07241,0.41341,1
,"Pb",207,311763.9,1,0,1
"Isotope Ratio Report",,,,,,
"Sample ID:","10ppb_SRM981_QC",,,,,
"Sample Date/Time:","Thursday, April 23, 2015 12:06:09",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM10_NyAlesund_2010-2014_isotopi\10ppb_SRM981_QC.005",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",40,,,,,
"Read Delay(sec):",40,,,,,
"Number of Sweeps:",1000,,,,,
"Number of Readings:",10,,,,,
"Number of Replicates:",10,,,,,
"Dual Detector Mode:","Pulse",,,,,
"Measurement Unit:","counts",,,,,
"Replicates",,,,,,
"Replicate",1,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,919186.339,2.4048,0.53679,1
"| ","Pb",206,410948.428,1.07514,0.23999,1
"|>","Pb",207,382229.526,1,0.22322,1
"Replicate",2,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,913358.992,2.40466,0.53616,1
"| ","Pb",206,410327.431,1.08029,0.24087,1
"|>","Pb",207,379829.255,1,0.22297,1
"Replicate",3,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,909432.359,2.40061,0.53611,1
"| ","Pb",206,408091.089,1.07723,0.24057,1
"|>","Pb",207,378834.221,1,0.22332,1
"Replicate",4,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,910358.186,2.39581,0.5359,1
"| ","Pb",206,408398.093,1.07479,0.24041,1
"|>","Pb",207,379979.677,1,0.22368,1
"Replicate",5,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,911818.902,2.4024,0.53618,1
"| ","Pb",206,409209.82,1.07816,0.24063,1
"|>","Pb",207,379544.424,1,0.22319,1
"Replicate",6,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,912678.308,2.41223,0.53712,1
"| ","Pb",206,408182.504,1.07884,0.24022,1
"|>","Pb",207,378354.88,1,0.22266,1
"Replicate",7,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,900373.208,2.40034,0.53613,1
"| ","Pb",206,403909.568,1.0768,0.24051,1
"|>","Pb",207,375101.998,1,0.22336,1
"Replicate",8,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,906883.063,2.41035,0.53616,1
"| ","Pb",206,408307.807,1.08522,0.2414,1
"|>","Pb",207,376245.447,1,0.22244,1
"Replicate",9,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,913382.042,2.4071,0.53621,1
"| ","Pb",206,410555.159,1.08197,0.24102,1
"|>","Pb",207,379453.089,1,0.22276,1
"Replicate",10,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,917336.815,2.41456,0.5369,1
"| ","Pb",206,411317.648,1.08264,0.24074,1
"|>","Pb",207,379919.496,1,0.22236,1
"Summary",,,,,,
"Analyte","Mass","Net Intens. Mean","Ratio Mean","Ratio %RSD","Corr. Factor Mean",
,"Pb",208,911480.8,2.40529,0.24328,1
,"Pb",206,408924.8,1.07911,0.3145,1
,"Pb",207,378949.2,1,0,1
"Isotope Ratio Report",,,,,,
"Sample ID:","CRM482_1a40_QC",,,,,
"Sample Date/Time:","Thursday, April 23, 2015 12:15:34",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM10_NyAlesund_2010-2014_isotopi\CRM482_1a40_QC.006",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",40,,,,,
"Read Delay(sec):",40,,,,,
"Number of Sweeps:",1000,,,,,
"Number of Readings:",10,,,,,
"Number of Replicates:",10,,,,,
"Dual Detector Mode:","Pulse",,,,,
"Measurement Unit:","counts",,,,,
"Replicates",,,,,,
"Replicate",1,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,1004702.724,2.44262,0.53614,1
"| ","Pb",206,457943.349,1.11335,0.24437,1
"|>","Pb",207,411321.647,1,0.21949,1
"Replicate",2,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,994269.725,2.44251,0.53586,1
"| ","Pb",206,454126.444,1.1156,0.24475,1
"|>","Pb",207,407068.767,1,0.21939,1
"Replicate",3,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,987243.557,2.44805,0.53684,1
"| ","Pb",206,448480.152,1.11209,0.24387,1
"|>","Pb",207,403277.503,1,0.21929,1
"Replicate",4,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,980436.16,2.44359,0.5359,1
"| ","Pb",206,447838.863,1.11617,0.24479,1
"|>","Pb",207,401227.934,1,0.21931,1
"Replicate",5,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,982001.326,2.43555,0.5352,1
"| ","Pb",206,449630.253,1.11517,0.24505,1
"|>","Pb",207,403195.252,1,0.21975,1
"Replicate",6,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,981141.75,2.43611,0.53528,1
"| ","Pb",206,449049.212,1.11496,0.24499,1
"|>","Pb",207,402749.812,1,0.21973,1
"Replicate",7,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,976526.821,2.44042,0.53576,1
"| ","Pb",206,446023.422,1.11465,0.24471,1
"|>","Pb",207,400146.475,1,0.21954,1
"Replicate",8,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,965446.258,2.44711,0.53577,1
"| ","Pb",206,442003.159,1.12034,0.24529,1
"|>","Pb",207,394524.678,1,0.21894,1
"Replicate",9,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,956065.702,2.4412,0.53554,1
"| ","Pb",206,437547.578,1.11723,0.24509,1
"|>","Pb",207,391637.626,1,0.21937,1
"Replicate",10,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,944801.531,2.4476,0.53611,1
"| ","Pb",206,431524.704,1.1179,0.24486,1
"|>","Pb",207,386011.982,1,0.21903,1
"Summary",,,,,,
"Analyte","Mass","Net Intens. Mean","Ratio Mean","Ratio %RSD","Corr. Factor Mean",
,"Pb",208,977263.6,2.44248,0.18025,1
,"Pb",206,446416.7,1.11575,0.21016,1
,"Pb",207,400116.2,1,0,1
"Isotope Ratio Report",,,,,,
"Sample ID:","10ppb_SRM981_QC",,,,,
"Sample Date/Time:","Thursday, April 23, 2015 12:24:36",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM10_NyAlesund_2010-2014_isotopi\10ppb_SRM981_QC.007",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",40,,,,,
"Read Delay(sec):",40,,,,,
"Number of Sweeps:",1000,,,,,
"Number of Readings:",10,,,,,
"Number of Replicates:",10,,,,,
"Dual Detector Mode:","Pulse",,,,,
"Measurement Unit:","counts",,,,,
"Replicates",,,,,,
"Replicate",1,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,1072907.004,2.39584,0.53568,1
"| ","Pb",206,482150.104,1.07666,0.24073,1
"|>","Pb",207,447820.805,1,0.22359,1
"Replicate",2,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,1054270.426,2.40017,0.53614,1
"| ","Pb",206,472875.805,1.07656,0.24048,1
"|>","Pb",207,439248.452,1,0.22338,1
"Replicate",3,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,1036258.841,2.39397,0.5354,1
"| ","Pb",206,466350.358,1.07737,0.24095,1
"|>","Pb",207,432861.267,1,0.22365,1
"Replicate",4,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,1022681.703,2.38897,0.53484,1
"| ","Pb",206,461375.947,1.07777,0.24129,1
"|>","Pb",207,428084.81,1,0.22388,1
"Replicate",5,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,1009014.71,2.40555,0.53565,1
"| ","Pb",206,455256.606,1.08536,0.24168,1
"|>","Pb",207,419453.664,1,0.22267,1
"Replicate",6,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,995678.907,2.39514,0.5356,1
"| ","Pb",206,447619.068,1.07676,0.24078,1
"|>","Pb",207,415708.165,1,0.22362,1
"Replicate",7,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,993890.771,2.39815,0.53527,1
"| ","Pb",206,448462.087,1.08209,0.24153,1
"|>","Pb",207,414439.927,1,0.2232,1
"Replicate",8,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,996544.806,2.41038,0.53593,1
"| ","Pb",206,449498.784,1.08722,0.24173,1
"|>","Pb",207,413439.627,1,0.22234,1
"Replicate",9,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,986853.359,2.40258,0.53565,1
"| ","Pb",206,444759.904,1.08281,0.24141,1
"|>","Pb",207,410746.772,1,0.22295,1
"Replicate",10,,,,,
"   ","Analyte","Mass","Net Intensity","Ratio (Norm)","Ratio Fraction","Corr. Factor"
"|-","Pb",208,977377.257,2.41198,0.5363,1
"| ","Pb",206,439844.516,1.08545,0.24135,1
"|>","Pb",207,405217.785,1,0.22235,1
"Summary",,,,,,
"Analyte","Mass","Net Intens. Mean","Ratio Mean","Ratio %RSD","Corr. Factor Mean",
,"Pb",208,1014547.8,2.40027,0.30747,1
,"Pb",206,456819.3,1.0808,0.39221,1
,"Pb",207,422702.1,1,0,1
"Isotope Ratio Report",,,,,,
"Sample ID:","SRM_981",,,,,
"Sample Date/Time:","Thursday, April 23, 2015 13:40:40",,,,,
"Sample Type:","Sample",,,,,
"Sample Description:",,,,,,
"Method File:","C:\Elandata_Analitica\Method\pb_isotopi.mth",,,,,
"Dataset File:","C:\Elandata_Analitica\Dataset\PM10_NyAlesund_2010-2014_isotopi\SRM_981.008",,,,,
"Tuning File:","C:\Elandata_Analitica\Tuning\default.tun",,,,,
"Optimization File:","C:\Elandata_Analitica\Optimize\default_Pbratios.dac",,,,,
"Blank File:",,,,,,
"Dead Time (ns):",40,,,,,
"Read Delay(sec):",40,,,,,
